info	time	type	plate	ABL1	ADAM9	ALCAM	APP	AURKA	AURKB	AXIN1	AXL	BLMH	CASP3	CAV1	CCNA2	CCNE1	CDH1	CSTB	CTSD	EDIL3	EIF4B	EPCAM	EPHA2	ERBB2	EZR	FABP5	FAS	FGF19	FGF2	GLI3	GLO1	GRN	HMOX1	HSPB1	IGFBP2	IKBKG	ITGB5	LGALS3	LIN28A	LRPAP1	LRRC16A	MESDC2	MET	METAP1D	MIF	MKI67	NOTCH1	NPM1	NQO1	NTHL1	PARK7	PARP1	PLAU	PLAUR	POU5F1	SCAMP3	SMAD4	SOD1	SOD2	SOX2	THY1	TNC	TNFRSF10B	TP53	ZNF24
Comb_0h_sc_A2	Comb	0h	sc	A2	0.139472589	0.503580039	0	0.143841136	0.665585557	0	0.764475204	0.830680566	0	6.322991975	0	0	0.410409626	0.648572718	0	0	0	0	3.992793252	0	1.17329861	0.694255346	0	0.184958185	0	0	0	1.863340331	0	0.777563372	0	0.491309415	0.990991597	1.610238226	0	0.437805323	0.215961816	0	0.343205374	0.037540582	0.437969243	3.791188833	0.335378734	1.238613121	0.193130987	0	0.605374496	0.780172227	0.752077029	1.538772571	0	2.30336204	1.576817094	0.265484947	1.070243809	0	0.212479025	1.898745599	0.42693339	2.579350822	1.96720676	2.478382693
Comb_0h_sc_A3	Comb	0h	sc	A3	0.101472651	0	0	0.35785237	0	0	0	0.865505763	0	7.212112696	0.419647049	0	1.149537274	1.335929988	0	0	0	0	5.661771494	0	1.277372422	1.024276534	0	1.331167678	0	0	0.045135178	2.588717689	0	0.586375925	0	1.140398897	0.872812245	1.674383985	0	0.784787842	0.44771783	0.517445481	0.401389875	0	0.739799411	4.762464591	0	1.563806802	0.246613058	0	0.531263774	1.309112374	0	2.180261122	0.570748631	2.099712379	0.623976165	0.218820086	1.794982861	0.021042135	0.499296416	0.771834348	0	3.089129697	3.254706109	2.396177019
Comb_0h_sc_A4	Comb	0h	sc	A4	0.493954219	0.199694822	0	0.483465745	0.630688793	0	0.162371359	1.003306842	0.191851024	7.425789683	0.533201448	0.753604664	0.169859667	1.163939016	0	0	0	0	5.090298468	0	1.634184025	1.135275343	0	1.722966757	0	0	0	2.872641784	0	1.664616974	0	1.410119864	1.333005141	1.998810802	0	0.94986879	0.593459452	0.234977728	0.598937617	0.381003182	0.81260902	4.554385969	0	2.433157803	0.486496037	0.124761542	0.372084819	1.434490701	0.722954656	3.205992095	1.492484622	2.237018219	0.81490335	0.311760629	1.639080786	0	0.634397086	2.21976578	0	4.161408641	0.755063308	3.214356641
Comb_0h_sc_A5	Comb	0h	sc	A5	0.158072896	0	0.10748271	0.49839896	0.557134031	0.021269743	0.461231871	0.919673951	0	6.906821071	0.315650381	0.03881324	0.706218918	0.801135687	0	0	0	0.090295288	5.166334877	0	1.410567535	0.788074659	0	0.830908524	0.045754072	0	0.146991002	2.706154562	0	1.344232213	0	1.158637508	1.211456452	3.184521684	0	0.631196232	0.460797778	0.735722195	0.725073047	0.079478511	0.584140054	4.130904548	0.353719937	2.069387315	0.624009397	0.306522681	0.82120185	1.134599906	0.549545207	1.82117818	0.427664717	2.499259792	0.701976816	0.530008928	1.392378407	0.116058829	0.422722792	2.12115926	0	3.51431415	1.332177198	2.386573868
Comb_0h_sc_A6	Comb	0h	sc	A6	0.522071309	0.166248422	0	1.11973562	0.573346127	0	0.580021248	1.322701504	0.349820132	7.477366084	0.813714725	0.439667366	0.912431186	1.234775217	0	0	0	0.299242504	6.350772774	0.015971954	1.741841843	1.045008089	0	1.278593643	0.469705383	0	0	3.25901114	0	1.309281472	0	1.426580346	1.246864626	3.256698898	0	1.302338928	1.049799689	0.833442576	0.925354058	1.34215994	0.525380677	4.831528723	0.146734343	2.504061037	0.758541651	0.194731466	0.784714908	1.773256902	0.193130747	2.356762189	1.091637616	2.513749276	0.442330914	0.322732291	1.781606923	0.117822044	0.331709111	2.21290122	0	3.476094945	5.211521436	3.306642991
Comb_0h_sc_A7	Comb	0h	sc	A7	0.403724172	0	0.02704733	0.764859947	0.050934507	0	0.320136971	0.903346177	0	7.859984593	0.121541252	0	0.852924148	0.973551183	0	0	0	0	5.426816753	0	1.732590818	0.731798833	0	2.047069177	0.567837327	0	0	2.912104196	0.069280041	1.729380843	0	1.014451971	0.932066601	2.642694589	0	0.69572917	0.859821601	0.801733504	0.392431477	0.075076664	1.363441327	4.089038023	0.192152506	1.726671344	0.169927591	0	0.564568649	1.117335881	0.325925792	2.92008096	1.971899945	2.111311844	0.37938765	0.0391736	1.557508018	0.452080352	0.406800775	1.724073455	0.016657013	3.24931743	2.1962921	2.764852941
Comb_0h_sc_A8	Comb	0h	sc	A8	0.296839284	0	0	0.332203029	0.252778195	0	0.043572574	0.924772719	0	7.194691893	0.1794679	0	0.961023206	1.055842865	0	0	0	0.297470391	5.066927516	0	1.755769819	0.617985687	0	0.871670603	0	0	0	2.62358297	0	0.337012949	0	0.622122917	1.218956038	1.018562595	0	0.848862353	0.491064412	0.639204029	0.454877224	0.688163842	0	3.702809078	0.172266439	1.367527501	0.094244913	0.059589164	0.519650537	0.835578093	0.647036915	1.763688117	0.47031644	1.848300438	0.410351911	0.517033724	1.552621489	0.06990604	0.465074926	0.616860289	0	2.825109425	2.504936825	2.529658578
Comb_0h_sc_A9	Comb	0h	sc	A9	0.416823349	0	0.098186684	0.431359762	0.230738665	0	0.038405936	0.325101356	0	6.809934513	0	0.067288319	1.016427642	0.829436078	0	0	0	0	5.486446529	0	1.587594658	0.935187653	0	0.757479999	0.247164273	0	0.307216561	2.617964172	0	1.056863522	0	1.099301414	0.663731841	1.849580321	0	0.832992089	0.640675384	0.775559263	0.492149888	0	0.608945825	4.26631128	0	1.234092902	0.258757197	0	0.886013013	1.253549114	0.387131066	2.388304334	1.169651795	2.15804163	0.411987733	0.412206833	1.354250658	0	0	1.395719733	0	3.419856285	2.640638215	2.794564371
Comb_0h_sc_A10	Comb	0h	sc	A10	0.56476279	0	0	0.480273966	0.328009854	0	0.069142403	1.004643677	0	6.681551127	0	0.43065084	0.657631049	0.920805418	0	0	0	0.117154059	5.620554373	0	1.666758321	0.944704373	0	0.803126901	0.251136698	0	0.105218485	2.594131057	0.147575536	1.063429071	0	0.765863152	0.689130287	1.286898206	0	0.583348981	0.424246972	0.632052687	0.653630817	0	0.702513814	3.946089425	0	1.865960273	0.360997753	0	0.718137227	0.83955168	0.17373513	1.595162274	0.702067384	2.112866936	0.212656251	0.283399823	1.557849314	0.067617336	0.603466337	1.866920621	0	3.282760726	3.007378601	2.775637305
Comb_0h_sc_A11	Comb	0h	sc	A11	0.249186087	0	0	0.299823852	0.037919311	0	0	0.835711199	0	6.83284448	0	0	0.838455476	0.766235674	0	0	0	0.008270552	6.052195857	0	1.17450553	0.663759957	0	1.542960242	0	0	0.182349041	1.952274036	0	0	0	0.405580345	0.706065842	1.642948171	0	0.615801582	0.482869218	0.507828796	0.327577586	0.089309408	0.306666161	4.362951256	0	0.991436709	0.326813907	0	0.300584181	1.131347111	0.322100708	1.547558697	0.016259015	1.705034467	0.187346662	0.24925124	1.199738805	0	0.663458127	0.966082931	0	2.631828216	1.060838646	2.759118942
